"sample_name","organism","genotype","experiment","time_point_str","well_flask_ID","allele","time_point_num","condition"
"WT_TP1_hyc_WTs_B4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B4_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_B4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B4_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_G6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G6_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_G6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G6_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_C6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_C6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C6_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_D3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D3_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_D3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D3_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_G9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G3_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_G9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G3_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_G12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G6_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_G12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G6_WT2","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_H3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_H3_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_H3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_H3_WT2","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_E12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E6_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_E12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E6_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_G10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G4_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_G10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G4_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_E10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E4_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_E10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E4_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_G11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G5_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_G11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G5_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_H10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_H4_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_H10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_H4_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_E11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E5_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_E11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E5_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_A9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A3_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_A9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A3_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_A3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A3_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_A3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A3_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_A5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_A5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A5_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_B3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B3_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_B3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B3_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_C9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C3_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_C9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C3_G12","par",60,"WT_LowN_60"
"WT_TP3_hyc_WTs_G3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G3_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_G3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G3_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_D6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D6_G12","cer",960,"WT_LowN_960"
